58.47895500725689,12,"{'transitiontime': 40, 'hue': 32397, 'bri': 229, 'sat': 255}",low,Safe
60.23512336719884,"[7, 8, 10, 11, 14, 15]","{'transitiontime': 32, 'hue': 12470, 'bri': 131, 'sat': 255}",arc,Unmodified
61.320340136054426,10,"{'transitiontime': 1, 'hue': 96, 'bri': 189, 'sat': 250}",beat,Unmodified
61.847605224963715,12,"{'transitiontime': 27, 'hue': 26998, 'bri': 0, 'sat': 255}",high,Unmodified
62.144648526077098,8,"{'transitiontime': 1, 'hue': 84, 'bri': 178, 'sat': 172}",beat,Unmodified
63.46589259796807,"[7, 8, 10, 11, 12, 14, 15]","{'transitiontime': 34, 'hue': 10804, 'bri': 137, 'sat': 255}",arc,Unmodified
64.745283446712023,14,"{'transitiontime': 1, 'hue': 88, 'bri': 178, 'sat': 238}",beat,Unmodified
65.26705370101597,7,"{'transitiontime': 15, 'hue': 32397, 'bri': 229, 'sat': 255}",low,Safe
66.54716981132076,7,"{'transitiontime': 14, 'hue': 26998, 'bri': 0, 'sat': 255}",high,Unmodified
66.89985486211901,"[7, 8, 10, 11, 12, 14, 15]","{'transitiontime': 41, 'hue': 13376, 'bri': 133, 'sat': 255}",arc,Unmodified
68.30043541364296,7,"{'transitiontime': 28, 'hue': 32398, 'bri': 229, 'sat': 255}",low,Unmodified
69.006145124716554,10,"{'transitiontime': 1, 'hue': 87, 'bri': 179, 'sat': 235}",beat,Unmodified
69.876893424036282,10,"{'transitiontime': 1, 'hue': 89, 'bri': 179, 'sat': 153}",beat,Unmodified
70.306462585034012,10,"{'transitiontime': 1, 'hue': 86, 'bri': 0, 'sat': 195}",beat,Unmodified
70.67634252539914,7,"{'transitiontime': 17, 'hue': 26999, 'bri': 0, 'sat': 255}",high,Unmodified
71.09143686502178,"[7, 8, 10, 11, 12, 14, 15]","{'transitiontime': 31, 'hue': 12502, 'bri': 137, 'sat': 255}",arc,Safe
71.583560090702946,8,"{'transitiontime': 1, 'hue': 82, 'bri': 178, 'sat': 221}",beat,Unmodified
72.465918367346944,14,"{'transitiontime': 1, 'hue': 106, 'bri': 198, 'sat': 194}",beat,Unmodified
